metodo,amostra,palavra_alvo,contagem,tempo_ms,num_threads
SerialCPU,Pequena,que,12,0.0368,1
SerialCPU,Pequena,que,12,0.0196,1
SerialCPU,Pequena,que,12,0.0213,1
ParallelCPU-2T,Pequena,que,12,6.4368,2
ParallelCPU-2T,Pequena,que,12,0.3713,2
ParallelCPU-2T,Pequena,que,12,0.2933,2
ParallelCPU-4T,Pequena,que,12,0.4056,4
ParallelCPU-4T,Pequena,que,12,0.3716,4
ParallelCPU-4T,Pequena,que,12,0.3355,4
ParallelCPU-8T,Pequena,que,12,0.9571,8
ParallelCPU-8T,Pequena,que,12,0.8121,8
ParallelCPU-8T,Pequena,que,12,0.7993,8
SerialCPU,Media,que,120,0.1370,1
SerialCPU,Media,que,120,0.1375,1
SerialCPU,Media,que,120,0.1398,1
ParallelCPU-2T,Media,que,120,0.4800,2
ParallelCPU-2T,Media,que,120,0.3926,2
ParallelCPU-2T,Media,que,120,0.3163,2
ParallelCPU-4T,Media,que,120,0.4859,4
ParallelCPU-4T,Media,que,120,0.4283,4
ParallelCPU-4T,Media,que,120,0.4420,4
ParallelCPU-8T,Media,que,120,1.2483,8
ParallelCPU-8T,Media,que,120,0.8499,8
ParallelCPU-8T,Media,que,120,0.7393,8
SerialCPU,Grande,que,1200,1.2667,1
SerialCPU,Grande,que,1200,1.0782,1
SerialCPU,Grande,que,1200,0.2806,1
ParallelCPU-2T,Grande,que,1200,1.1316,2
ParallelCPU-2T,Grande,que,1200,0.5804,2
ParallelCPU-2T,Grande,que,1200,1.0207,2
ParallelCPU-4T,Grande,que,1200,0.4704,4
ParallelCPU-4T,Grande,que,1200,0.4882,4
ParallelCPU-4T,Grande,que,1200,0.4884,4
ParallelCPU-8T,Grande,que,1200,0.8403,8
ParallelCPU-8T,Grande,que,1200,2.2380,8
ParallelCPU-8T,Grande,que,1200,0.6974,8
